Category 1,Quality,Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Wine,Super Premium,Italy,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1
Wine,Super Premium,Bulgaria,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0
Wine,Super Premium,DF Nordic Countries - (All Countries),,,,,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,,,0.0,,0.0,0.0,0.0,0.0
Wine,Super Premium,DF China,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Super Premium,DF Gulf - (All Countries),,,,,,,,,,,,,,,,,,,,,,0.0,0.1,0.1,0.0,0.0,0.0
Wine,Super Premium,DF France,,,,,,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
Wine,Super Premium,DF Netherlands,,,,,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Super Premium,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0
Wine,Super Premium,Latvia,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Wine,Super Premium,Portugal,,,,,,,,,,,,,,,,0.0,,,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0
Wine,Super Premium,DF Baltics - (All Countries),,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Wine,Super Premium,DF Belgium/Luxembourg,,,,,0.1,0.1,,0.0,,,,,0.0,,,,,,,,,,,,,,
Wine,Super Premium,DF Czech Republic,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Wine,Super Premium,DF Germany,,,,,0.1,0.1,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,
Wine,Super Premium,DF Hong Kong,,,,,,0.1,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Wine,Super Premium,DF Indian Sub-Continent,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Wine,Super Premium,DF Indonesia,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
Wine,Super Premium,DF Israel,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
Wine,Super Premium,DF Italy,,,,,,0.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,
Wine,Super Premium,DF Poland,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,
Wine,Super Premium,DF Rest of Africa,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,
Wine,Super Premium,DF Rest of Australasia,,,,,0.1,0.1,,,,,,,,,,,,,,0.0,,,,,,,
Wine,Super Premium,DF Rest of Central & Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Wine,Super Premium,DF Rest of East Asia,,,,,0.1,0.2,0.1,0.1,,,,,,,,,,,,,,,,,,,
Wine,Super Premium,DF Rest of Latin America,,,,,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Wine,Super Premium,DF Rest of Southern Europe,,,,,0.1,0.1,0.1,0.1,0.1,0.0,,,,,,,,,,,,,,,,,
Wine,Super Premium,DF Rest of World,,,,,0.1,0.1,0.1,0.1,0.1,0.0,,,,,,,,,,,,,,,,,
Wine,Super Premium,DF Russia,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.1,0.1,0.1,0.1,,
Wine,Super Premium,DF Singapore,,,,,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,
Wine,Super Premium,DF South Korea,,,,,,0.3,0.2,0.1,,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,,,,,,,,,,
Wine,Super Premium,DF Switzerland,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,
Wine,Super Premium,DF Turkey,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
Wine,Super Premium,DF US Pacific,,,,,0.1,0.2,0.1,0.1,,,,,,,,,,,,,,,,,,,
